Code,Nom français,Nom latin
ACM,Achillée millefeuille,Achillea millefolium Linnaeus
ACP,Actée à gros pédicelles,Actaea pachypoda Elliott
ACR,Actée rouge,Actaea rubra (Aiton) Willdenow
ACS,Actée,Actaea Linnaeus
ADP,Adiante du canada,Adiantum pedatum Linnaeus
AGG,Aigremoine à sépales crochus,Agrimonia gryposepala Wallroth
AGS,Aigremoine striée,Agrimonia striata Michaux
AJR,Bugle rampante,Ajuga reptans Linnaeus
ALR,Alisma commun,Alisma triviale Pursh
ALS,Alisma subcordé,Alisma subcordatum Rafinesque
ALT,Ail des bois,Allium tricoccum Aiton
AMA,Petite herbe à poux,Ambrosia artemisiifolia Linnaeus
AMB,Amphicarpe bractéolée,Amphicarpaea bracteata (Linnaeus) Fernald
AME,Amélanchier,Amelanchier Medikus
AMF,Faux-indigo commun,Amorpha fruticosa Linnaeus
AMS,Amarante,Amaranthus Adanson
AMT,Grande herbe à poux,Ambrosia trifida Linnaeus
ANA,Mouron rouge,Lysimachia arvensis (Linnaeus) U. Manns & Anderberg
ANC,Anémone du canada,Anemonastrum canadense (Linnaeus) Mosyakin
ANG,Andromède glauque,Andromeda polifolia var. latifolia Aiton
ANM,Immortelle blanche,Anaphalis margaritacea (Linnaeus) Bentham & Hooker f.
ANR,,Anomodon rugelii (Müll. Hal.) Keissl.
ANS,Antennaire,Antennaria Gaertner
ANV,Anémone de virginie,Anemone virginiana Linnaeus
APA,Apocyn à feuilles d'androsème,Apocynum androsaemifolium Linnaeus
APM,Apios d'amérique,Apios americana Medikus
AQV,Ancolie vulgaire,Aquilegia vulgaris Linnaeus
ARA,Arisème petit-prêcheur,Arisaema triphyllum (Linnaeus) Schott
ARH,Aralie hispide,Aralia hispida Ventenat
ARI,Petite bardane,Arctium minus (Hill) Bernhardi
ARL,Grande bardane,Arctium lappa Linnaeus
ARM,Aronie à fruits noirs,Aronia melanocarpa (Michaux) Elliott
ARN,Aralie à tige nue,Aralia nudicaulis Linnaeus
ARR,Aralie à grappes,Aralia racemosa Linnaeus
ARS,Sabline à feuilles de serpolet,Arenaria serpyllifolia Linnaeus
ARU,Raisin d'ours,Arctostaphylos uva-ursi (Linnaeus) Sprengel
ASA,Aster acuminé,Oclemena acuminata (Michaux) Greene
ASC,Asaret du canada,Asarum canadense Linnaeus
ASI,Aster lancéolé,Symphyotrichum lanceolatum (Willdenow) G.L. Nesom subsp. lanceolatum
ASJ,Aster boréal,Symphyotrichum boreale (Torrey & A. Gray) Á. Löve & D. Löve
ASL,Asclépiade commune,Asclepias syriaca Linnaeus
ASM,Aster à grandes feuilles,Eurybia macrophylla (Linnaeus) Cassini
ASN,Aster de nouvelle-angleterre,Symphyotrichum novae-angliae (Linnaeus) G.L. Nesom
ASP,Aster ponceau,Symphyotrichum puniceum (Linnaeus) Á. Löve & D. Löve var. puniceum
ASS,Aster,Aster Linnaeus
ASU,Aster à ombelles,Doellingeria umbellata (Miller) Nees
ATA,Clématite verticillée,Clematis occidentalis (Hornemann) de Candolle var. occidentalis
ATF,Athyrie fougère-femelle,Athyrium filix-femina (Linnaeus) Roth ex Mertens
ATP,Athyrie à sores denses,Diplazium pycnocarpon (Sprengel) M. Broun
ATT,Athyrie fausse-thélyptère,Deparia acrostichoides (Swartz) M. Kato
AUC,Aulne crispé,Alnus alnobetula subsp. crispa (Aiton) Raus
AUP,Aulacomnie des marais,Aulacomnium palustre (Hedw.) Schwägr.
AUR,Aulne rugueux,Alnus incana subsp. rugosa (Du Roi) R.T. Clausen
BAT,Bazzanie trilobée,Bazzania trilobata (L.) A. Gray
BEG,Bouleau glanduleux,Betula glandulosa Michaux
BEM,Bouleau mineur,Betula minor (Tuckerman) Fernald
BEP,Bouleau nain,Betula pumila Linnaeus
BET,Épine-vinette du japon,Berberis thunbergii de Candolle
BIC,Bident à trois divisions,Bidens tripartita Linnaeus
BIF,Bident feuillu,Bidens frondosa Linnaeus
BIN,Bident à feuilles connées,Bidens connata Muhlenberg ex Willdenow
BIR,Bident penché,Bidens cernua Linnaeus
BIS,Bident,Bidens Linnaeus
BOG,Bouleau gris,Betula populifolia Marshall
BOJ,Bouleau jaune,Betula alleghaniensis Britton
BOO,Botryche découpé,Sceptridium dissectum (Sprengel) Lyon
BOP,Bouleau à papier,Betula papyrifera Marshall
BOV,Botryche de virginie,Botrypus virginianus (Linnaeus) Michaux
BRR,Moutarde des oiseaux,Brassica rapa Linnaeus
BRS,,Brachythecium Schimp. in B.S.G.
CAB,Calypso bulbeux,Calypso bulbosa (Linnaeus) Oakes
CAC,Caryer cordiforme,Carya cordiformis (Wangenheim) K. Koch
CAD,Cardamine bulbeuse,"Cardamine bulbosa (Schreber ex Muhlenberg) Britton, Sterns & Poggenburgh"
CAF,Caryer ovale,Carya ovata (Miller) K. Koch
CAL,Cassandre caliculé,Chamaedaphne calyculata (Linnaeus) Moench
CAM,Calla des marais,Calla palustris Linnaeus
CAO,,Calliergon cordifolium (Hedw.) Kindb.
CAP,Populage des marais,Caltha palustris Linnaeus
CAR,Charme de caroline,Carpinus caroliniana Walter
CAS,Castilléjie septentrionale,Castilleja septentrionalis Lindley
CAT,Caulophylle faux-pigamon,Caulophyllum thalictroides (Linnaeus) Michaux
CAV,Chardon des champs,Cirsium arvense (Linnaeus) Scopoli
CAX,Carex,Carex Linnaeus
CEO,Micocoulier occidental,Celtis occidentalis Linnaeus
CES,Bourreau-des-arbres,Celastrus scandens Linnaeus
CET,Cerisier tardif,Prunus serotina Ehrhart
CEU,Petite-centaurée commune,Centaurium erythraea Rafn
CEV,Céraiste vulgaire,Cerastium fontanum subsp. vulgare (Hartman) Greuter & Burdet
CHA,Dorine d'amérique,Chrysosplenium americanum Schweinitz ex Hooker
CHB,Chêne blanc,Quercus alba Linnaeus
CHE,Chêne bicolore,Quercus bicolor Willdenow
CHG,Chêne à gros fruits,Quercus macrocarpa Michaux
CHH,Petit thé,Gaultheria hispidula (Linnaeus) Muhlenberg ex Bigelow
CHL,Marguerite blanche,Leucanthemum vulgare Lamarck
CHM,Grande chélidoine,Chelidonium majus Linnaeus
CHO,Galane glabre,Chelone glabra Linnaeus
CHP,Chrysanthème matricaire,Tanacetum parthenium (Linnaeus) Schultz-Bipontinus
